Fp,Block,Trial,Stimulus,Cue1_English,Cue2_English,Criterium_English,Response_as numeric output,condition,response_raw,Experiment
118,9,206,20,5,2,80,80,2,80,1
118,9,207,17,4,3,60,60,2,60,1
118,10,208,5,2,1,60,60,2,60,1
118,10,209,2,1,2,40,40,2,40,1
118,10,210,16,4,2,70,70,2,70,1
118,10,211,22,5,4,60,60,2,60,1
118,10,212,19,4,5,40,40,2,40,1
118,10,213,14,3,5,30,30,2,30,1
118,10,214,3,1,3,30,30,2,30,1
118,10,215,20,5,2,80,80,2,80,1
118,10,216,7,2,3,40,40,2,40,1
118,10,217,10,3,1,70,70,2,70,1
118,10,218,21,5,3,70,70,2,70,1
118,10,219,8,2,4,30,30,2,30,1
118,10,220,4,1,4,20,20,2,20,1
118,10,221,1,1,1,50,50,2,50,1
118,10,222,23,5,5,50,50,2,50,1
118,10,223,15,4,1,80,80,2,80,1
118,10,224,17,4,3,60,60,2,60,1
118,10,225,13,3,4,40,40,2,40,1
118,10,226,12,3,3,50,50,2,50,1
118,10,227,11,3,2,60,60,2,60,1
118,10,228,9,2,5,20,20,2,20,1
118,10,229,18,4,4,50,50,2,50,1
118,10,230,6,2,2,50,50,2,50,1
118,11,1,25,5,5,50,50,2,50,1
118,11,2,20,4,5,40,40,2,40,1
118,11,3,17,4,2,70,70,2,70,1
118,11,4,11,3,1,70,70,2,70,1
118,11,5,16,4,1,80,80,2,80,1
118,11,6,3,1,3,30,30,2,30,1
118,11,7,14,3,4,40,40,2,40,1
118,11,8,2,1,2,40,40,2,40,1
118,11,9,8,2,3,40,40,2,40,1
118,11,10,13,3,3,50,50,2,50,1
118,11,11,21,5,1,90,90,2,90,1
118,11,12,6,2,1,60,60,2,60,1
118,11,13,1,1,1,50,50,2,50,1
118,11,14,24,5,4,60,60,2,60,1
118,11,15,5,1,5,10,10,2,10,1
118,11,16,12,3,2,60,60,2,60,1
118,11,17,4,1,4,20,20,2,20,1
118,11,18,10,2,5,20,20,2,20,1
118,11,19,7,2,2,50,50,2,50,1
118,11,20,18,4,3,60,60,2,60,1
118,11,21,22,5,2,80,80,2,80,1
118,11,22,19,4,4,50,50,2,50,1
118,11,23,15,3,5,30,30,2,30,1
118,11,24,23,5,3,70,70,2,70,1
118,11,25,9,2,4,30,30,2,30,1
118,12,26,12,3,2,60,60,2,60,1
118,12,27,22,5,2,80,80,2,80,1
118,12,28,9,2,4,30,30,2,30,1
118,12,29,1,1,1,50,50,2,50,1
118,12,30,24,5,4,60,60,2,60,1
118,12,31,21,5,1,90,90,2,90,1
118,12,32,11,3,1,70,70,2,70,1
118,12,33,4,1,4,20,20,2,20,1
118,12,34,20,4,5,40,40,2,40,1
118,12,35,5,1,5,10,10,2,10,1
118,12,36,6,2,1,60,60,2,60,1
118,12,37,23,5,3,70,70,2,70,1
118,12,38,3,1,3,30,30,2,30,1
118,12,39,16,4,1,80,80,2,80,1
118,12,40,13,3,3,50,50,2,50,1
118,12,41,18,4,3,60,60,2,60,1
118,12,42,7,2,2,50,50,2,50,1
118,12,43,10,2,5,20,20,2,20,1
118,12,44,15,3,5,30,30,2,30,1
118,12,45,2,1,2,40,40,2,40,1
118,12,46,25,5,5,50,50,2,50,1
118,12,47,19,4,4,50,50,2,50,1
118,12,48,8,2,3,40,40,2,40,1
118,12,49,17,4,2,70,70,2,70,1
118,12,50,14,3,4,40,40,2,40,1
119,1,1,5,A little,Very little,Somewhat high,50,1,Normal,1
119,1,2,21,Very much,Average,High,50,1,Normal,1
119,1,3,1,Very little,Very little,Normal,60,1,Somewhat high,1
119,1,4,10,Average,Very little,High,40,1,Somewhat low,1
119,1,5,15,A lot,Very little,Very high,50,1,Normal,1
119,1,6,8,A little,A lot,Low,50,1,Normal,1
119,1,7,2,Very little,A little,Somewhat low,30,1,Low,1
119,1,8,7,A little,Average,Somewhat low,50,1,Normal,1
119,1,9,9,A little,Very much,Very low,50,1,Normal,1
119,1,10,6,A little,A little,Normal,20,1,Very low,1
119,1,11,12,Average,Average,Normal,50,1,Normal,1
119,1,12,14,Average,Very much,Low,60,1,Somewhat high,1
119,1,13,17,A lot,Average,Somewhat high,50,1,Normal,1
119,1,14,3,Very little,Average,Low,50,1,Normal,1
119,1,15,20,Very much,A little,Very high,50,1,Normal,1
119,1,16,18,A lot,A lot,Normal,60,1,Somewhat high,1
119,1,17,22,Very much,A lot,Somewhat high,60,1,Somewhat high,1
119,1,18,16,A lot,A little,High,50,1,Normal,1
119,1,19,11,Average,A little,Somewhat high,50,1,Normal,1
119,1,20,23,Very much,Very much,Normal,60,1,Somewhat high,1
119,1,21,4,Very little,A lot,Very low,50,1,Normal,1
119,1,22,13,Average,A lot,Somewhat low,50,1,Normal,1
119,1,23,19,A lot,Very much,Somewhat low,40,1,Somewhat low,1
119,2,24,18,A lot,A lot,Normal,50,1,Normal,1
119,2,25,8,A little,A lot,Low,50,1,Normal,1
119,2,26,7,A little,Average,Somewhat low,40,1,Somewhat low,1
119,2,27,1,Very little,Very little,Normal,40,1,Somewhat low,1
119,2,28,13,Average,A lot,Somewhat low,50,1,Normal,1
119,2,29,9,A little,Very much,Very low,40,1,Somewhat low,1
119,2,30,21,Very much,Average,High,40,1,Somewhat low,1
119,2,31,5,A little,Very little,Somewhat high,50,1,Normal,1
119,2,32,11,Average,A little,Somewhat high,40,1,Somewhat low,1
119,2,33,10,Average,Very little,High,60,1,Somewhat high,1
119,2,34,19,A lot,Very much,Somewhat low,60,1,Somewhat high,1
119,2,35,6,A little,A little,Normal,40,1,Somewhat low,1
119,2,36,16,A lot,A little,High,50,1,Normal,1
119,2,37,2,Very little,A little,Somewhat low,40,1,Somewhat low,1
119,2,38,3,Very little,Average,Low,40,1,Somewhat low,1
119,2,39,23,Very much,Very much,Normal,40,1,Somewhat low,1
119,2,40,12,Average,Average,Normal,40,1,Somewhat low,1
119,2,41,4,Very little,A lot,Very low,50,1,Normal,1
119,2,42,14,Average,Very much,Low,40,1,Somewhat low,1
119,2,43,17,A lot,Average,Somewhat high,50,1,Normal,1
119,2,44,22,Very much,A lot,Somewhat high,40,1,Somewhat low,1
119,2,45,15,A lot,Very little,Very high,50,1,Normal,1
119,2,46,20,Very much,A little,Very high,40,1,Somewhat low,1
119,3,47,7,A little,Average,Somewhat low,50,1,Normal,1
119,3,48,2,Very little,A little,Somewhat low,40,1,Somewhat low,1
119,3,49,11,Average,A little,Somewhat high,40,1,Somewhat low,1
119,3,50,9,A little,Very much,Very low,50,1,Normal,1
119,3,51,20,Very much,A little,Very high,40,1,Somewhat low,1
119,3,52,10,Average,Very little,High,50,1,Normal,1
119,3,53,22,Very much,A lot,Somewhat high,70,1,High,1
119,3,54,5,A little,Very little,Somewhat high,40,1,Somewhat low,1
119,3,55,8,A little,A lot,Low,50,1,Normal,1
119,3,56,18,A lot,A lot,Normal,60,1,Somewhat high,1
119,3,57,6,A little,A little,Normal,40,1,Somewhat low,1
119,3,58,15,A lot,Very little,Very high,50,1,Normal,1
119,3,59,16,A lot,A little,High,50,1,Normal,1
119,3,60,17,A lot,Average,Somewhat high,60,1,Somewhat high,1
119,3,61,3,Very little,Average,Low,50,1,Normal,1
119,3,62,23,Very much,Very much,Normal,60,1,Somewhat high,1
119,3,63,21,Very much,Average,High,50,1,Normal,1
119,3,64,12,Average,Average,Normal,50,1,Normal,1
119,3,65,13,Average,A lot,Somewhat low,60,1,Somewhat high,1
119,3,66,1,Very little,Very little,Normal,30,1,Low,1
119,3,67,14,Average,Very much,Low,50,1,Normal,1
119,3,68,19,A lot,Very much,Somewhat low,50,1,Normal,1
119,3,69,4,Very little,A lot,Very low,40,1,Somewhat low,1
119,4,70,16,A lot,A little,High,20,1,Very low,1
119,4,71,7,A little,Average,Somewhat low,50,1,Normal,1
119,4,72,23,Very much,Very much,Normal,60,1,Somewhat high,1
119,4,73,19,A lot,Very much,Somewhat low,60,1,Somewhat high,1
119,4,74,11,Average,A little,Somewhat high,50,1,Normal,1
119,4,75,1,Very little,Very little,Normal,40,1,Somewhat low,1
119,4,76,2,Very little,A little,Somewhat low,50,1,Normal,1
119,4,77,3,Very little,Average,Low,40,1,Somewhat low,1
119,4,78,21,Very much,Average,High,40,1,Somewhat low,1
119,4,79,20,Very much,A little,Very high,50,1,Normal,1
119,4,80,18,A lot,A lot,Normal,60,1,Somewhat high,1
119,4,81,14,Average,Very much,Low,60,1,Somewhat high,1
119,4,82,6,A little,A little,Normal,50,1,Normal,1
119,4,83,5,A little,Very little,Somewhat high,40,1,Somewhat low,1
119,4,84,9,A little,Very much,Very low,50,1,Normal,1
119,4,85,17,A lot,Average,Somewhat high,40,1,Somewhat low,1
119,4,86,13,Average,A lot,Somewhat low,60,1,Somewhat high,1
119,4,87,8,A little,A lot,Low,50,1,Normal,1
119,4,88,12,Average,Average,Normal,40,1,Somewhat low,1
119,4,89,22,Very much,A lot,Somewhat high,60,1,Somewhat high,1
119,4,90,4,Very little,A lot,Very low,50,1,Normal,1
119,4,91,10,Average,Very little,High,50,1,Normal,1
119,4,92,15,A lot,Very little,Very high,50,1,Normal,1
119,5,93,2,Very little,A little,Somewhat low,50,1,Normal,1
119,5,94,17,A lot,Average,Somewhat high,50,1,Normal,1
119,5,95,11,Average,A little,Somewhat high,50,1,Normal,1
119,5,96,19,A lot,Very much,Somewhat low,60,1,Somewhat high,1
119,5,97,6,A little,A little,Normal,30,1,Low,1
119,5,98,23,Very much,Very much,Normal,50,1,Normal,1
119,5,99,15,A lot,Very little,Very high,50,1,Normal,1
119,5,100,3,Very little,Average,Low,40,1,Somewhat low,1
119,5,101,8,A little,A lot,Low,50,1,Normal,1
119,5,102,22,Very much,A lot,Somewhat high,50,1,Normal,1
119,5,103,5,A little,Very little,Somewhat high,40,1,Somewhat low,1
119,5,104,14,Average,Very much,Low,60,1,Somewhat high,1
119,5,105,20,Very much,A little,Very high,40,1,Somewhat low,1
119,5,106,4,Very little,A lot,Very low,50,1,Normal,1
119,5,107,13,Average,A lot,Somewhat low,50,1,Normal,1
119,5,108,1,Very little,Very little,Normal,20,1,Very low,1
119,5,109,16,A lot,A little,High,50,1,Normal,1
119,5,110,21,Very much,Average,High,50,1,Normal,1
119,5,111,12,Average,Average,Normal,40,1,Somewhat low,1
119,5,112,7,A little,Average,Somewhat low,40,1,Somewhat low,1
119,5,113,9,A little,Very much,Very low,50,1,Normal,1
119,5,114,10,Average,Very little,High,40,1,Somewhat low,1
119,5,115,18,A lot,A lot,Normal,50,1,Normal,1
119,6,116,14,Average,Very much,Low,50,1,Normal,1
119,6,117,5,A little,Very little,Somewhat high,40,1,Somewhat low,1
119,6,118,16,A lot,A little,High,50,1,Normal,1
119,6,119,6,A little,A little,Normal,30,1,Low,1
119,6,120,18,A lot,A lot,Normal,50,1,Normal,1
119,6,121,22,Very much,A lot,Somewhat high,40,1,Somewhat low,1
119,6,122,23,Very much,Very much,Normal,50,1,Normal,1
119,6,123,13,Average,A lot,Somewhat low,40,1,Somewhat low,1
119,6,124,4,Very little,A lot,Very low,50,1,Normal,1
119,6,125,1,Very little,Very little,Normal,50,1,Normal,1
119,6,126,20,Very much,A little,Very high,60,1,Somewhat high,1
119,6,127,9,A little,Very much,Very low,50,1,Normal,1
119,6,128,10,Average,Very little,High,50,1,Normal,1
119,6,129,19,A lot,Very much,Somewhat low,60,1,Somewhat high,1
119,6,130,8,A little,A lot,Low,50,1,Normal,1
119,6,131,7,A little,Average,Somewhat low,50,1,Normal,1
119,6,132,15,A lot,Very little,Very high,40,1,Somewhat low,1
119,6,133,2,Very little,A little,Somewhat low,50,1,Normal,1
119,6,134,21,Very much,Average,High,40,1,Somewhat low,1
119,6,135,12,Average,Average,Normal,50,1,Normal,1
119,6,136,11,Average,A little,Somewhat high,60,1,Somewhat high,1
119,6,137,3,Very little,Average,Low,40,1,Somewhat low,1
119,6,138,17,A lot,Average,Somewhat high,50,1,Normal,1
119,7,139,11,Average,A little,Somewhat high,40,1,Somewhat low,1
119,7,140,23,Very much,Very much,Normal,50,1,Normal,1
119,7,141,15,A lot,Very little,Very high,40,1,Somewhat low,1
119,7,142,21,Very much,Average,High,60,1,Somewhat high,1
119,7,143,17,A lot,Average,Somewhat high,60,1,Somewhat high,1
119,7,144,3,Very little,Average,Low,40,1,Somewhat low,1
119,7,145,22,Very much,A lot,Somewhat high,70,1,High,1
119,7,146,14,Average,Very much,Low,70,1,High,1
119,7,147,12,Average,Average,Normal,50,1,Normal,1
119,7,148,19,A lot,Very much,Somewhat low,60,1,Somewhat high,1
119,7,149,1,Very little,Very little,Normal,30,1,Low,1
119,7,150,7,A little,Average,Somewhat low,50,1,Normal,1
119,7,151,13,Average,A lot,Somewhat low,60,1,Somewhat high,1
119,7,152,16,A lot,A little,High,40,1,Somewhat low,1
119,7,153,4,Very little,A lot,Very low,40,1,Somewhat low,1
119,7,154,2,Very little,A little,Somewhat low,40,1,Somewhat low,1
119,7,155,18,A lot,A lot,Normal,50,1,Normal,1
119,7,156,6,A little,A little,Normal,50,1,Normal,1
119,7,157,9,A little,Very much,Very low,60,1,Somewhat high,1
119,7,158,20,Very much,A little,Very high,40,1,Somewhat low,1
119,7,159,5,A little,Very little,Somewhat high,40,1,Somewhat low,1
119,7,160,10,Average,Very little,High,60,1,Somewhat high,1
119,7,161,8,A little,A lot,Low,60,1,Somewhat high,1
119,8,162,13,Average,A lot,Somewhat low,60,1,Somewhat high,1
119,8,163,10,Average,Very little,High,40,1,Somewhat low,1
119,8,164,1,Very little,Very little,Normal,50,1,Normal,1
119,8,165,17,A lot,Average,Somewhat high,60,1,Somewhat high,1
119,8,166,8,A little,A lot,Low,40,1,Somewhat low,1
119,8,167,15,A lot,Very little,Very high,40,1,Somewhat low,1
119,8,168,23,Very much,Very much,Normal,70,1,High,1
119,8,169,4,Very little,A lot,Very low,60,1,Somewhat high,1
119,8,170,14,Average,Very much,Low,60,1,Somewhat high,1
119,8,171,6,A little,A little,Normal,50,1,Normal,1
119,8,172,3,Very little,Average,Low,40,1,Somewhat low,1
119,8,173,5,A little,Very little,Somewhat high,30,1,Low,1
119,8,174,11,Average,A little,Somewhat high,60,1,Somewhat high,1
119,8,175,12,Average,Average,Normal,50,1,Normal,1
119,8,176,2,Very little,A little,Somewhat low,40,1,Somewhat low,1
119,8,177,18,A lot,A lot,Normal,50,1,Normal,1
119,8,178,19,A lot,Very much,Somewhat low,60,1,Somewhat high,1
119,8,179,20,Very much,A little,Very high,40,1,Somewhat low,1
119,8,180,7,A little,Average,Somewhat low,60,1,Somewhat high,1
119,8,181,22,Very much,A lot,Somewhat high,40,1,Somewhat low,1
119,8,182,9,A little,Very much,Very low,40,1,Somewhat low,1
119,8,183,21,Very much,Average,High,60,1,Somewhat high,1
119,8,184,16,A lot,A little,High,40,1,Somewhat low,1
119,9,185,17,A lot,Average,Somewhat high,60,1,Somewhat high,1
119,9,186,5,A little,Very little,Somewhat high,60,1,Somewhat high,1
119,9,187,11,Average,A little,Somewhat high,60,1,Somewhat high,1
119,9,188,1,Very little,Very little,Normal,50,1,Normal,1
119,9,189,15,A lot,Very little,Very high,60,1,Somewhat high,1
119,9,190,4,Very little,A lot,Very low,40,1,Somewhat low,1
119,9,191,14,Average,Very much,Low,40,1,Somewhat low,1
119,9,192,13,Average,A lot,Somewhat low,30,1,Low,1
119,9,193,23,Very much,Very much,Normal,50,1,Normal,1
119,9,194,20,Very much,A little,Very high,60,1,Somewhat high,1
119,9,195,19,A lot,Very much,Somewhat low,40,1,Somewhat low,1
119,9,196,8,A little,A lot,Low,40,1,Somewhat low,1
119,9,197,7,A little,Average,Somewhat low,40,1,Somewhat low,1
119,9,198,10,Average,Very little,High,40,1,Somewhat low,1
119,9,199,12,Average,Average,Normal,50,1,Normal,1
119,9,200,22,Very much,A lot,Somewhat high,40,1,Somewhat low,1
119,9,201,9,A little,Very much,Very low,40,1,Somewhat low,1
119,9,202,18,A lot,A lot,Normal,50,1,Normal,1
119,9,203,16,A lot,A little,High,60,1,Somewhat high,1
119,9,204,6,A little,A little,Normal,50,1,Normal,1
119,9,205,21,Very much,Average,High,40,1,Somewhat low,1
119,9,206,3,Very little,Average,Low,40,1,Somewhat low,1
119,9,207,2,Very little,A little,Somewhat low,60,1,Somewhat high,1
119,10,208,8,A little,A lot,Low,40,1,Somewhat low,1
119,10,209,3,Very little,Average,Low,30,1,Low,1
119,10,210,11,Average,A little,Somewhat high,60,1,Somewhat high,1
119,10,211,17,A lot,Average,Somewhat high,50,1,Normal,1
119,10,212,14,Average,Very much,Low,40,1,Somewhat low,1
119,10,213,4,Very little,A lot,Very low,60,1,Somewhat high,1
119,10,214,9,A little,Very much,Very low,40,1,Somewhat low,1
119,10,215,6,A little,A little,Normal,50,1,Normal,1
119,10,216,19,A lot,Very much,Somewhat low,40,1,Somewhat low,1
119,10,217,18,A lot,A lot,Normal,50,1,Normal,1
119,10,218,23,Very much,Very much,Normal,50,1,Normal,1
119,10,219,10,Average,Very little,High,40,1,Somewhat low,1
119,10,220,5,A little,Very little,Somewhat high,60,1,Somewhat high,1
119,10,221,16,A lot,A little,High,60,1,Somewhat high,1
119,10,222,20,Very much,A little,Very high,60,1,Somewhat high,1
119,10,223,2,Very little,A little,Somewhat low,60,1,Somewhat high,1
119,10,224,15,A lot,Very little,Very high,60,1,Somewhat high,1
119,10,225,1,Very little,Very little,Normal,60,1,Somewhat high,1
119,10,226,7,A little,Average,Somewhat low,60,1,Somewhat high,1
119,10,227,22,Very much,A lot,Somewhat high,40,1,Somewhat low,1
119,10,228,21,Very much,Average,High,60,1,Somewhat high,1
119,10,229,12,Average,Average,Normal,50,1,Normal,1
119,10,230,13,Average,A lot,Somewhat low,60,1,Somewhat high,1
119,11,1,17,A lot,A little,High,60,1,Somewhat high,1
119,11,2,15,Average,Very much,Low,40,1,Somewhat low,1
119,11,3,20,A lot,Very much,Somewhat low,40,1,Somewhat low,1
119,11,4,21,Very much,Very little,Extremely high,60,1,Somewhat high,1
119,11,5,4,Very little,A lot,Very low,40,1,Somewhat low,1
119,11,6,9,A little,A lot,Low,60,1,Somewhat high,1
119,11,7,18,A lot,Average,Somewhat high,30,1,Low,1
119,11,8,24,Very much,A lot,Somewhat high,40,1,Somewhat low,1
119,11,9,11,Average,Very little,High,60,1,Somewhat high,1
119,11,10,1,Very little,Very little,Normal,50,1,Normal,1
119,11,11,2,Very little,A little,Somewhat low,40,1,Somewhat low,1
119,11,12,19,A lot,A lot,Normal,50,1,Normal,1
119,11,13,23,Very much,Average,High,40,1,Somewhat low,1
119,11,14,22,Very much,A little,Very high,60,1,Somewhat high,1
119,11,15,25,Very much,Very much,Normal,50,1,Normal,1
119,11,16,6,A little,Very little,Somewhat high,40,1,Somewhat low,1
119,11,17,14,Average,A lot,Somewhat low,60,1,Somewhat high,1
119,11,18,10,A little,Very much,Very low,60,1,Somewhat high,1
119,11,19,5,Very little,Very much,Extremely low,40,1,Somewhat low,1
119,11,20,16,A lot,Very little,Very high,60,1,Somewhat high,1
119,11,21,3,Very little,Average,Low,40,1,Somewhat low,1
119,11,22,8,A little,Average,Somewhat low,40,1,Somewhat low,1
119,11,23,12,Average,A little,Somewhat high,60,1,Somewhat high,1
119,11,24,13,Average,Average,Normal,50,1,Normal,1
119,11,25,7,A little,A little,Normal,50,1,Normal,1
119,12,26,4,Very little,A lot,Very low,60,1,Somewhat high,1
119,12,27,2,Very little,A little,Somewhat low,40,1,Somewhat low,1
119,12,28,22,Very much,A little,Very high,60,1,Somewhat high,1
119,12,29,7,A little,A little,Normal,50,1,Normal,1
119,12,30,8,A little,Average,Somewhat low,40,1,Somewhat low,1
119,12,31,9,A little,A lot,Low,60,1,Somewhat high,1
119,12,32,21,Very much,Very little,Extremely high,40,1,Somewhat low,1
119,12,33,5,Very little,Very much,Extremely low,60,1,Somewhat high,1
119,12,34,15,Average,Very much,Low,40,1,Somewhat low,1
119,12,35,3,Very little,Average,Low,60,1,Somewhat high,1
119,12,36,13,Average,Average,Normal,50,1,Normal,1
119,12,37,14,Average,A lot,Somewhat low,60,1,Somewhat high,1
119,12,38,10,A little,Very much,Very low,40,1,Somewhat low,1
119,12,39,1,Very little,Very little,Normal,50,1,Normal,1
119,12,40,25,Very much,Very much,Normal,50,1,Normal,1
119,12,41,17,A lot,A little,High,60,1,Somewhat high,1
119,12,42,12,Average,A little,Somewhat high,40,1,Somewhat low,1
119,12,43,11,Average,Very little,High,60,1,Somewhat high,1
119,12,44,18,A lot,Average,Somewhat high,40,1,Somewhat low,1
119,12,45,24,Very much,A lot,Somewhat high,40,1,Somewhat low,1
119,12,46,16,A lot,Very little,Very high,60,1,Somewhat high,1
119,12,47,19,A lot,A lot,Normal,50,1,Normal,1
119,12,48,6,A little,Very little,Somewhat high,30,1,Low,1
119,12,49,20,A lot,Very much,Somewhat low,30,1,Low,1
119,12,50,23,Very much,Average,High,60,1,Somewhat high,1
120,1,1,13,3,4,50,60,4,60,1
120,1,2,17,4,3,50,40,4,40,1
120,1,3,20,5,2,30,50,4,50,1
120,1,4,4,1,5,10,70,4,70,1
120,1,5,21,5,3,50,40,4,40,1
120,1,6,12,3,3,50,70,4,70,1
120,1,7,9,2,5,30,40,4,40,1
120,1,8,2,1,3,50,20,4,20,1
120,1,9,19,4,5,70,40,4,40,1
120,1,10,1,1,2,70,10,4,10,1
120,1,11,14,3,5,50,50,4,50,1
120,1,12,5,2,1,70,70,4,70,1
120,1,13,6,2,2,60,30,4,30,1
120,1,14,7,2,3,50,70,4,70,1
120,1,15,8,2,4,40,60,4,60,1
120,1,16,11,3,2,50,60,4,60,1
120,1,17,3,1,4,30,70,4,70,1
120,1,18,23,5,5,90,10,4,10,1
120,1,19,10,3,1,50,50,4,50,1
120,1,20,18,4,4,60,90,4,90,1
120,1,21,15,4,1,30,50,4,50,1
120,1,22,22,5,4,70,50,4,50,1
120,1,23,16,4,2,40,50,4,50,1
120,2,24,4,1,5,10,90,4,90,1
120,2,25,18,4,4,60,70,4,70,1
120,2,26,19,4,5,70,50,4,50,1
120,2,27,9,2,5,30,50,4,50,1
120,2,28,1,1,2,70,50,4,50,1
120,2,29,15,4,1,30,30,4,30,1
120,2,30,5,2,1,70,70,4,70,1
120,2,31,13,3,4,50,70,4,70,1
120,2,32,22,5,4,70,50,4,50,1
120,2,33,3,1,4,30,70,4,70,1
120,2,34,11,3,2,50,70,4,70,1
120,2,35,21,5,3,50,20,4,20,1
120,2,36,10,3,1,50,70,4,70,1
120,2,37,17,4,3,50,50,4,50,1
120,2,38,6,2,2,60,40,4,40,1
120,2,39,14,3,5,50,50,4,50,1
120,2,40,12,3,3,50,70,4,70,1
120,2,41,23,5,5,90,50,4,50,1
120,2,42,16,4,2,40,80,4,80,1
120,2,43,8,2,4,40,70,4,70,1
120,2,44,2,1,3,50,20,4,20,1
120,2,45,7,2,3,50,50,4,50,1
120,2,46,20,5,2,30,30,4,30,1
120,3,47,2,1,3,50,70,4,70,1
120,3,48,9,2,5,30,70,4,70,1
120,3,49,20,5,2,30,50,4,50,1
120,3,50,1,1,2,70,50,4,50,1
120,3,51,16,4,2,40,70,4,70,1
120,3,52,12,3,3,50,50,4,50,1
120,3,53,5,2,1,70,20,4,20,1
120,3,54,8,2,4,40,30,4,30,1
120,3,55,10,3,1,50,50,4,50,1
120,3,56,3,1,4,30,50,4,50,1
120,3,57,17,4,3,50,50,4,50,1
120,3,58,6,2,2,60,70,4,70,1
120,3,59,11,3,2,50,50,4,50,1
120,3,60,14,3,5,50,70,4,70,1
120,3,61,22,5,4,70,50,4,50,1
120,3,62,21,5,3,50,70,4,70,1
120,3,63,18,4,4,60,50,4,50,1
120,3,64,23,5,5,90,50,4,50,1
120,3,65,13,3,4,50,50,4,50,1
120,3,66,4,1,5,10,90,4,90,1
120,3,67,15,4,1,30,90,4,90,1
120,3,68,7,2,3,50,50,4,50,1
120,3,69,19,4,5,70,50,4,50,1
120,4,70,2,1,3,50,70,4,70,1
120,4,71,15,4,1,30,30,4,30,1
120,4,72,21,5,3,50,70,4,70,1
120,4,73,19,4,5,70,50,4,50,1
120,4,74,22,5,4,70,50,4,50,1
120,4,75,20,5,2,30,30,4,30,1
120,4,76,13,3,4,50,70,4,70,1
120,4,77,14,3,5,50,70,4,70,1
120,4,78,9,2,5,30,70,4,70,1
120,4,79,8,2,4,40,40,4,40,1
120,4,80,4,1,5,10,90,4,90,1
120,4,81,23,5,5,90,50,4,50,1
120,4,82,10,3,1,50,70,4,70,1
120,4,83,1,1,2,70,70,4,70,1
120,4,84,7,2,3,50,40,4,40,1
120,4,85,6,2,2,60,70,4,70,1
120,4,86,12,3,3,50,80,4,80,1
120,4,87,18,4,4,60,60,4,60,1
120,4,88,5,2,1,70,50,4,50,1
120,4,89,11,3,2,50,50,4,50,1
120,4,90,16,4,2,40,50,4,50,1
120,4,91,17,4,3,50,50,4,50,1
120,4,92,3,1,4,30,70,4,70,1
120,5,93,1,1,2,70,30,4,30,1
120,5,94,5,2,1,70,70,4,70,1
120,5,95,18,4,4,60,80,4,80,1
120,5,96,6,2,2,60,60,4,60,1
120,5,97,11,3,2,50,50,4,50,1
120,5,98,12,3,3,50,60,4,60,1
120,5,99,8,2,4,40,50,4,50,1
120,5,100,2,1,3,50,70,4,70,1
120,5,101,22,5,4,70,50,4,50,1
120,5,102,15,4,1,30,70,4,70,1
120,5,103,4,1,5,10,40,4,40,1
120,5,104,17,4,3,50,40,4,40,1
120,5,105,7,2,3,50,50,4,50,1
120,5,106,19,4,5,70,50,4,50,1
120,5,107,3,1,4,30,70,4,70,1
120,5,108,14,3,5,50,50,4,50,1
120,5,109,16,4,2,40,40,4,40,1
120,5,110,21,5,3,50,70,4,70,1
120,5,111,9,2,5,30,80,4,80,1
120,5,112,10,3,1,50,50,4,50,1
120,5,113,23,5,5,90,10,4,10,1
120,5,114,20,5,2,30,10,4,10,1
120,5,115,13,3,4,50,50,4,50,1
120,6,116,17,4,3,50,50,4,50,1
120,6,117,4,1,5,10,10,4,10,1
120,6,118,23,5,5,90,40,4,40,1
120,6,119,9,2,5,30,30,4,30,1
120,6,120,7,2,3,50,50,4,50,1
120,6,121,10,3,1,50,30,4,30,1
120,6,122,11,3,2,50,50,4,50,1
120,6,123,16,4,2,40,20,4,20,1
120,6,124,21,5,3,50,30,4,30,1
120,6,125,1,1,2,70,70,4,70,1
120,6,126,8,2,4,40,30,4,30,1
120,6,127,3,1,4,30,10,4,10,1
120,6,128,5,2,1,70,70,4,70,1
120,6,129,13,3,4,50,50,4,50,1
120,6,130,15,4,1,30,70,4,70,1
120,6,131,20,5,2,30,50,4,50,1
120,6,132,2,1,3,50,50,4,50,1
120,6,133,14,3,5,50,50,4,50,1
120,6,134,22,5,4,70,50,4,50,1
120,6,135,12,3,3,50,50,4,50,1
120,6,136,18,4,4,60,30,4,30,1
120,6,137,6,2,2,60,80,4,80,1
120,6,138,19,4,5,70,70,4,70,1
120,7,139,13,3,4,50,50,4,50,1
120,7,140,10,3,1,50,30,4,30,1
120,7,141,17,4,3,50,50,4,50,1
120,7,142,9,2,5,30,30,4,30,1
120,7,143,6,2,2,60,60,4,60,1
120,7,144,11,3,2,50,50,4,50,1
120,7,145,12,3,3,50,40,4,40,1
120,7,146,14,3,5,50,50,4,50,1
120,7,147,20,5,2,30,30,4,30,1
120,7,148,1,1,2,70,70,4,70,1
120,7,149,4,1,5,10,30,4,30,1
120,7,150,15,4,1,30,50,4,50,1
120,7,151,2,1,3,50,70,4,70,1
120,7,152,18,4,4,60,50,4,50,1
120,7,153,23,5,5,90,90,4,90,1
120,7,154,19,4,5,70,50,4,50,1
120,7,155,8,2,4,40,40,4,40,1
120,7,156,3,1,4,30,70,4,70,1
120,7,157,5,2,1,70,70,4,70,1
